Código IBGE;Ano;Município;Masculino;Feminino;Ignorado;Nascidos vivos;População 2021
3525003;2021;Jandira;757;734;0;1.491;124.940
3525102;2021;Jardinópolis;269;259;0;528;43.258
3525201;2021;Jarinu;245;218;0;463;30.330
3525300;2021;Jaú;734;638;0;1.372;148.613
3525409;2021;Jeriquara;35;26;0;61;3.141
3525508;2021;Joanópolis;71;54;0;125;12.720
3525607;2021;João Ramalho;28;21;0;49;4.404
3525706;2021;José Bonifácio;232;215;0;447;36.229
3525805;2021;Júlio Mesquita;31;30;0;61;4.658
3525854;2021;Jumirim;21;19;0;40;3.343
3525904;2021;Jundiaí;2.778;2.701;0;5.479;409.439
3526001;2021;Junqueirópolis;116;79;0;195;20.174
3526100;2021;Juquiá;115;105;0;220;18.856
3526209;2021;Juquitiba;167;182;0;349;30.579
3526308;2021;Lagoinha;29;25;0;54;4.821
3526407;2021;Laranjal Paulista;169;159;0;328;28.042
3526506;2021;Lavínia;15;16;0;31;8.476
3526605;2021;Lavrinhas;48;47;0;95;7.218
3526704;2021;Leme;520;504;0;1.024;101.693
3526803;2021;Lençóis Paulista;427;400;0;827;66.695
3526902;2021;Limeira;1.597;1.575;1;3.173;297.662
3527009;2021;Lindóia;40;47;0;87;7.789
3527108;2021;Lins;392;413;0;805;75.318
3527207;2021;Lorena;560;520;0;1.080;86.952
3527256;2021;Lourdes;6;4;0;10;2.183
3527306;2021;Louveira;383;352;0;735;48.965
3527405;2021;Lucélia;105;75;0;180;21.092
3527504;2021;Lucianópolis;16;11;0;27;2.264
3527603;2021;Luís Antônio;79;89;0;168;14.358
3527702;2021;Luiziânia;45;25;0;70;5.813
3527801;2021;Lupércio;22;23;0;45;4.428
3527900;2021;Lutécia;20;16;0;36;2.615
3528007;2021;Macatuba;108;101;0;209;16.981
3528106;2021;Macaubal;35;30;0;65;7.738
3528205;2021;Macedônia;15;21;0;36;3.562
3528304;2021;Magda;10;9;0;19;3.076
3528403;2021;Mairinque;326;303;0;629;46.569
3528502;2021;Mairiporã;538;500;0;1.038;100.034
3528601;2021;Manduri;54;55;0;109;9.562
3528700;2021;Marabá Paulista;11;23;0;34;4.942
3528809;2021;Maracaí;79;68;0;147;13.526
3528858;2021;Marapoama;14;18;0;32;2.925
3528908;2021;Mariápolis;18;19;0;37;3.979
3529005;2021;Marília;1.392;1.376;0;2.768;232.599
3529104;2021;Marinópolis;8;6;0;14;2.096
3529203;2021;Martinópolis;135;141;0;276;25.778
3529302;2021;Matão;402;382;0;784;80.174
3529401;2021;Mauá;2.325;2.268;1;4.594;463.338
3529500;2021;Mendonça;16;18;0;34;5.069
3529609;2021;Meridiano;18;19;0;37;3.725
3529658;2021;Mesópolis;12;10;0;22;1.893
3529708;2021;Miguelópolis;110;104;0;214;21.500
3529807;2021;Mineiros do Tietê;59;59;0;118;12.641
3529906;2021;Miracatu;138;143;0;281;19.961
3530003;2021;Mira Estrela;10;21;0;31;2.949
3530102;2021;Mirandópolis;124;123;0;247;28.715
3530201;2021;Mirante do Paranapanema;80;87;0;167;17.831
3530300;2021;Mirassol;345;349;0;694;58.112
3530409;2021;Mirassolândia;31;31;0;62;4.736
3530508;2021;Mococa;352;331;0;683;66.719
3530607;2021;Mogi das Cruzes;2.874;2.748;0;5.622;436.883
3530706;2021;Mogi Guaçu;839;837;0;1.676;149.071
3530805;2021;Mogi Mirim;465;464;0;929;90.657
3530904;2021;Mombuca;38;23;0;61;3.338
3531001;2021;Monções;9;7;0;16;2.173
3531100;2021;Mongaguá;389;340;0;729;55.216
3531209;2021;Monte Alegre do Sul;34;37;0;71;7.792
3531308;2021;Monte Alto;240;206;0;446;48.469
3531407;2021;Monte Aprazível;99;87;0;186;23.561
3531506;2021;Monte Azul Paulista;104;101;0;205;18.131
3531605;2021;Monte Castelo;20;24;0;44;3.985
3531704;2021;Monteiro Lobato;12;12;0;24;4.491
3531803;2021;Monte Mor;471;429;0;900;60.555
3531902;2021;Morro Agudo;153;149;0;302;32.603
3532009;2021;Morungaba;66;88;0;154;13.359
3532058;2021;Motuca;21;19;0;40;4.665
3532108;2021;Murutinga do Sul;17;9;0;26;4.283
3532157;2021;Nantes;11;19;0;30;3.103
3532207;2021;Narandiba;53;40;0;93;4.888
3532306;2021;Natividade da Serra;30;28;0;58;6.703
3532405;2021;Nazaré Paulista;107;118;0;225;18.611
3532504;2021;Neves Paulista;40;38;0;78;8.592
3532603;2021;Nhandeara;46;31;0;77;10.760
3532702;2021;Nipoã;34;25;0;59;5.014
3532801;2021;Nova Aliança;40;43;0;83;6.487
3532827;2021;Nova Campina;68;50;0;118;9.787
3532843;2021;Nova Canaã Paulista;8;5;0;13;1.921
3532868;2021;Nova Castilho;3;2;0;5;1.180
3532900;2021;Nova Europa;59;60;0;119;10.863
3533007;2021;Nova Granada;121;106;0;227;21.054
3533106;2021;Nova Guataporanga;14;8;0;22;2.192
3533205;2021;Nova Independência;25;23;0;48;3.774
3533254;2021;Novais;33;24;0;57;5.575
3533304;2021;Nova Luzitânia;13;7;0;20;4.083
3533403;2021;Nova Odessa;345;341;0;686;58.490
3533502;2021;Novo Horizonte;208;195;0;403;39.124
3533601;2021;Nuporanga;42;30;0;72;7.297
3533700;2021;Ocauçu;29;27;0;56;4.143
3533809;2021;Óleo;13;14;0;27;2.517
3533908;2021;Olímpia;327;300;0;627;52.670
3534005;2021;Onda Verde;36;32;0;68;4.250
3534104;2021;Oriente;27;34;0;61;6.275
3534203;2021;Orindiúva;38;35;0;73;6.951
3534302;2021;Orlândia;230;195;0;425;42.436
3534401;2021;Osasco;4.392;4.274;0;8.666;682.876
3534500;2021;Oscar Bressane;10;11;0;21;2.508
3534609;2021;Osvaldo Cruz;144;159;0;303;31.256
3534708;2021;Ourinhos;574;595;0;1.169;111.039
3534757;2021;Ouroeste;51;33;0;84;9.871
3534807;2021;Ouro Verde;47;52;0;99;8.306
3534906;2021;Pacaembu;55;39;0;94;13.041
3535002;2021;Palestina;69;60;0;129;12.220
3535101;2021;Palmares Paulista;54;64;0;118;13.154
